Id_Cliente,Nome Cliente,Estado,Codigo_IBGE,Id_Transportador,Nome Transportador,Nota Fiscal,Qtd Volumes,Valor Nota Fiscal,Prazo Contratado,Data Expedição,Data Entrega,Ocorrência de Entrega,Prazo Entrega,On Time,In Full
1,Luana da Luz,Piauí,22,5,Costa,22,7,3656.67,37,2023-11-16,2023-12-02,Sem Ocorrência,16,On Time,In Full
1,Luana da Luz,Piauí,22,5,Costa,466,15,369.67,34,2023-07-19,2023-08-18,Entrega com Avaria,30,On Time,Avaria
16,Davi Lucas Rodrigues,Distrito Federal,53,5,Costa,1522,40,5023.83,6,2023-01-23,2023-01-29,Sem Ocorrência,6,On Time,In Full
16,Davi Lucas Rodrigues,Distrito Federal,53,5,Costa,1724,46,3734.08,2,2023-11-23,2023-12-23,Entrega com Avaria,30,Late Time,Avaria
19,Diego da Cunha,Maranhão,21,5,Costa,273,51,1833.73,7,2023-03-04,2023-03-28,Sem Ocorrência,24,Late Time,Avaria
26,Srta. Mariana Cardoso,Amazonas,13,5,Costa,1143,2,894.61,9,2023-11-27,2023-12-20,Sem Ocorrência,23,Late Time,Avaria
36,Esther Rocha,Bahia,29,5,Costa,556,31,4711.44,12,2023-09-01,2023-09-13,Sem Ocorrência,12,On Time,In Full
37,Bryan Mendes,Sergipe,28,5,Costa,983,14,533.25,36,2023-09-11,2023-09-28,Entrega com Avaria,17,On Time,Avaria
38,Dra. Ana Beatriz da Cruz,Piauí,22,5,Costa,442,30,892.31,38,2023-06-09,2023-06-20,Sem Ocorrência,11,On Time,In Full
39,Arthur Santos,Bahia,29,5,Costa,925,27,1364.08,9,2023-11-04,2023-12-03,Entrega com Avaria,29,Late Time,Avaria
45,Sophia Farias,Alagoas,27,5,Costa,2,8,2203.89,1,2023-06-09,2023-07-02,Sem Ocorrência,23,Late Time,Avaria
45,Sophia Farias,Alagoas,27,5,Costa,90,26,1466.45,3,2023-08-20,2023-08-28,Sem Ocorrência,8,Late Time,Avaria
61,Thiago Viana,Maranhão,21,5,Costa,139,23,143.62,35,2023-04-25,2023-05-25,Entrega com Avaria,30,On Time,Avaria
62,João Pedro Jesus,Bahia,29,5,Costa,1030,35,1980.45,30,2023-04-16,2023-04-24,Sem Ocorrência,8,On Time,In Full
63,Dra. Maria Fernanda Santos,Rio de Janeiro,33,5,Costa,1821,37,2746.42,37,2023-05-18,2023-05-27,Sem Ocorrência,9,On Time,In Full
66,Fernanda Gonçalves,Amazonas,13,5,Costa,590,1,359.76,36,2023-05-12,2023-06-02,Sem Ocorrência,21,On Time,In Full
67,Joaquim das Neves,Roraima,14,5,Costa,292,8,4078.38,22,2023-12-18,2023-12-31,Sem Ocorrência,13,On Time,In Full
67,Joaquim das Neves,Roraima,14,5,Costa,1187,51,2987.25,5,2023-03-30,2023-04-16,Sem Ocorrência,17,Late Time,Avaria
69,Sr. Marcos Vinicius Pires,Acre,12,5,Costa,489,51,4070.68,39,2023-11-15,2023-12-08,Entrega com Avaria,23,On Time,Avaria
71,Nina Sales,Piauí,22,5,Costa,479,6,1176.69,34,2023-07-12,2023-07-18,Entrega com Avaria,6,On Time,Avaria
76,Antônio Azevedo,Distrito Federal,53,5,Costa,2244,33,1420.61,16,2023-05-31,2023-06-20,Sem Ocorrência,20,Late Time,Avaria
84,Sr. João Felipe Ferreira,Bahia,29,5,Costa,622,16,3137.46,12,2023-07-21,2023-08-15,Sem Ocorrência,25,Late Time,Avaria
86,Heloísa Cardoso,Mato Grosso do Sul,50,5,Costa,1789,21,2879.45,37,2023-06-12,2023-06-16,Entrega com Avaria,4,On Time,Avaria
88,Guilherme Carvalho,Alagoas,27,5,Costa,2145,10,3530.16,26,2023-03-28,2023-04-01,Entrega com Avaria,4,On Time,Avaria
93,Ana Vitória Castro,Pernambuco,26,5,Costa,1972,12,2632.33,18,2023-01-07,2023-02-03,Entrega com Avaria,27,Late Time,Avaria
94,Pedro Miguel da Rocha,Espírito Santo,32,5,Costa,76,20,2737.87,6,2023-05-29,2023-06-21,Sem Ocorrência,23,Late Time,Avaria
94,Pedro Miguel da Rocha,Espírito Santo,32,5,Costa,719,26,2796.01,26,2023-08-29,2023-09-20,Sem Ocorrência,22,On Time,In Full
103,Gabriel Barbosa,Paraíba,25,5,Costa,1457,21,2937.71,37,2023-02-21,2023-02-23,Sem Ocorrência,2,On Time,In Full
112,Pedro Miguel Rezende,Minas Gerais,31,5,Costa,232,26,2324.41,22,2023-02-13,2023-03-10,Entrega com Avaria,25,Late Time,Avaria
131,Guilherme Mendes,Paraná,41,5,Costa,1540,18,3951.39,12,2023-07-11,2023-07-19,Entrega com Avaria,8,On Time,Avaria
133,Mariane Nunes,Amapá,16,5,Costa,302,43,1590.18,17,2023-03-02,2023-03-18,Sem Ocorrência,16,On Time,In Full
137,Dr. Augusto Cunha,Mato Grosso,51,5,Costa,199,47,2958.63,36,2023-08-16,2023-08-18,Entrega com Avaria,2,On Time,Avaria
140,Sra. Alana Moura,Santa Catarina,42,5,Costa,1725,32,413.76,20,2023-07-31,2023-08-03,Sem Ocorrência,3,On Time,In Full
145,Isis Porto,Alagoas,27,5,Costa,587,28,2918.11,41,2023-12-28,2023-12-31,Entrega com Avaria,3,On Time,Avaria
146,Isabelly Ribeiro,Goiás,52,5,Costa,2294,3,2343.48,7,2023-08-11,2023-08-15,Sem Ocorrência,4,On Time,In Full
154,Dra. Carolina Martins,Acre,12,5,Costa,1954,45,2667.43,5,2023-06-29,2023-07-18,Entrega com Avaria,19,Late Time,Avaria
156,Alana Farias,Distrito Federal,53,5,Costa,851,35,914.67,5,2023-01-12,2023-01-28,Entrega com Avaria,16,Late Time,Avaria
157,Larissa Vieira,Distrito Federal,53,5,Costa,1572,30,1521.87,40,2023-01-10,2023-01-23,Entrega com Avaria,13,On Time,Avaria
159,Emilly Araújo,Espírito Santo,32,5,Costa,463,34,3075.73,13,2023-12-05,2023-12-18,Entrega com Avaria,13,On Time,Avaria
161,Alícia Rezende,Maranhão,21,5,Costa,1202,41,3491.56,24,2023-09-04,2023-09-12,Sem Ocorrência,8,On Time,In Full
164,Maria Eduarda Pinto,Ceará,23,5,Costa,723,8,1888.89,10,2023-03-28,2023-03-31,Sem Ocorrência,3,On Time,In Full
172,Lorenzo Moura,Bahia,29,5,Costa,711,3,1055.81,6,2023-11-23,2023-11-28,Entrega com Avaria,5,On Time,Avaria
173,Mariane Teixeira,Distrito Federal,53,5,Costa,950,34,721.56,4,2023-09-15,2023-09-24,Entrega com Avaria,9,Late Time,Avaria
175,Sra. Kamilly Viana,Santa Catarina,42,5,Costa,1099,20,845.83,10,2023-01-23,2023-02-11,Sem Ocorrência,19,Late Time,Avaria
176,Isabel Vieira,Rio Grande do Sul,43,5,Costa,1380,22,1088.03,24,2023-09-10,2023-10-09,Sem Ocorrência,29,Late Time,Avaria
180,Sra. Alana Ferreira,Alagoas,27,5,Costa,1345,11,2959.79,40,2023-01-06,2023-02-04,Entrega com Avaria,29,On Time,Avaria
185,Enzo Porto,Mato Grosso do Sul,50,5,Costa,2111,27,1108.39,24,2023-04-27,2023-05-16,Entrega com Avaria,19,On Time,Avaria
197,Murilo Dias,Amazonas,13,5,Costa,258,27,95.65,39,2023-11-10,2023-12-10,Entrega com Avaria,30,On Time,Avaria
199,Otávio Moraes,Rio Grande do Sul,43,5,Costa,2302,38,2093.22,39,2023-03-08,2023-03-19,Sem Ocorrência,11,On Time,In Full
211,Lucas Pires,Alagoas,27,5,Costa,936,3,4402.83,13,2023-08-13,2023-08-16,Entrega com Avaria,3,On Time,Avaria
213,Ana Vitória Pires,Paraná,41,5,Costa,2115,51,588.7,26,2023-07-22,2023-07-26,Entrega com Avaria,4,On Time,Avaria
218,Danilo Cunha,Mato Grosso do Sul,50,5,Costa,1586,18,517.21,27,2023-11-15,2023-12-07,Entrega com Avaria,22,On Time,Avaria
221,André Silveira,Ceará,23,5,Costa,1430,38,916.69,16,2023-01-11,2023-01-13,Entrega com Avaria,2,On Time,Avaria
230,Maria Sophia Freitas,Piauí,22,5,Costa,623,3,4628.24,2,2023-11-21,2023-12-10,Entrega com Avaria,19,Late Time,Avaria
231,Maria Luiza Sales,Santa Catarina,42,5,Costa,2355,19,3785.92,34,2023-06-08,2023-06-18,Sem Ocorrência,10,On Time,In Full
232,Heitor da Rosa,Minas Gerais,31,5,Costa,54,18,2735.33,29,2023-12-09,2023-12-26,Entrega com Avaria,17,On Time,Avaria
237,Helena Porto,Bahia,29,5,Costa,1913,44,94.26,18,2023-12-29,2023-12-30,Sem Ocorrência,1,On Time,In Full
246,Thales Moraes,Sergipe,28,5,Costa,496,31,3669.43,9,2023-12-16,2023-12-31,Sem Ocorrência,15,Late Time,Avaria
246,Thales Moraes,Sergipe,28,5,Costa,825,7,3892.67,7,2023-03-09,2023-03-26,Entrega com Avaria,17,Late Time,Avaria
254,Calebe Carvalho,Pará,15,5,Costa,2173,17,2841.52,28,2023-04-02,2023-04-10,Sem Ocorrência,8,On Time,In Full
264,Marina Teixeira,Amapá,16,5,Costa,732,51,2346.6,5,2023-07-20,2023-08-13,Entrega com Avaria,24,Late Time,Avaria
265,Antônio Azevedo,Pará,15,5,Costa,1439,26,819.04,26,2023-08-03,2023-08-31,Entrega com Avaria,28,Late Time,Avaria
270,Julia Rodrigues,Mato Grosso do Sul,50,5,Costa,1863,3,422.67,18,2023-10-29,2023-11-10,Sem Ocorrência,12,On Time,In Full
273,Kaique Pires,Paraíba,25,5,Costa,214,31,2740.42,18,2023-02-19,2023-02-25,Entrega com Avaria,6,On Time,Avaria
277,Lucas Gabriel das Neves,Amapá,16,5,Costa,449,44,4566.83,19,2023-05-04,2023-06-01,Entrega com Avaria,28,Late Time,Avaria
284,Ana Vitória Novaes,Rio de Janeiro,33,5,Costa,1019,29,3753.92,19,2023-09-14,2023-10-02,Sem Ocorrência,18,On Time,In Full
284,Ana Vitória Novaes,Rio de Janeiro,33,5,Costa,1932,10,3609.68,15,2023-07-26,2023-08-09,Sem Ocorrência,14,On Time,In Full
288,Gabriela Nascimento,Rio Grande do Sul,43,5,Costa,2151,41,2370.2,20,2023-10-09,2023-10-12,Entrega com Avaria,3,On Time,Avaria
297,Gabrielly Campos,Mato Grosso,51,5,Costa,1269,48,3572.23,16,2023-07-29,2023-08-13,Sem Ocorrência,15,On Time,In Full
298,Davi Ramos,Rio Grande do Norte,24,5,Costa,827,23,1148.43,22,2023-11-06,2023-11-14,Entrega com Avaria,8,On Time,Avaria
304,Luiz Otávio da Rocha,Pernambuco,26,5,Costa,549,32,782.62,29,2023-08-18,2023-09-08,Sem Ocorrência,21,On Time,In Full
304,Luiz Otávio da Rocha,Pernambuco,26,5,Costa,818,3,68.59,31,2023-12-07,2023-12-09,Entrega com Avaria,2,On Time,Avaria
308,Kevin Cavalcanti,Roraima,14,5,Costa,1324,7,153.9,15,2023-08-16,2023-08-25,Sem Ocorrência,9,On Time,In Full
309,Vitor Alves,Tocantins,17,5,Costa,356,15,440.92,39,2023-07-25,2023-08-06,Sem Ocorrência,12,On Time,In Full
313,Sophie Costela,Amapá,16,5,Costa,1418,37,3128.38,37,2023-09-16,2023-09-21,Entrega com Avaria,5,On Time,Avaria
315,Alícia Nogueira,Rio Grande do Norte,24,5,Costa,1683,29,4907.64,19,2023-12-19,2023-12-26,Entrega com Avaria,7,On Time,Avaria
325,Maria Fernanda Barbosa,São Paulo,35,5,Costa,382,27,937.53,15,2023-11-08,2023-11-09,Entrega com Avaria,1,On Time,Avaria
326,Samuel Castro,Bahia,29,5,Costa,337,9,2068.82,17,2023-06-01,2023-06-19,Sem Ocorrência,18,Late Time,Avaria
326,Samuel Castro,Bahia,29,5,Costa,1357,33,4529.55,29,2023-07-08,2023-07-23,Entrega com Avaria,15,On Time,Avaria
328,Maria Clara da Mata,Amazonas,13,5,Costa,2254,29,3880.06,21,2023-12-31,2023-12-31,Entrega com Avaria,0,On Time,Avaria
331,Dra. Maria Eduarda Silva,Roraima,14,5,Costa,2367,9,873.34,9,2023-11-06,2023-12-01,Entrega com Avaria,25,Late Time,Avaria
343,Luiz Otávio da Mata,Maranhão,21,5,Costa,1712,17,330.62,39,2023-07-20,2023-08-01,Entrega com Avaria,12,On Time,Avaria
350,Alexia da Rocha,Paraná,41,5,Costa,672,6,4696.32,21,2023-10-31,2023-11-25,Sem Ocorrência,25,Late Time,Avaria
351,Pietra Santos,Maranhão,21,5,Costa,1937,4,4838.41,6,2023-09-02,2023-09-05,Entrega com Avaria,3,On Time,Avaria
357,Vitória Pereira,Pernambuco,26,5,Costa,1446,36,3861.36,13,2023-04-04,2023-04-09,Entrega com Avaria,5,On Time,Avaria
360,Mariana Porto,Rio Grande do Norte,24,5,Costa,1956,24,4617.5,19,2023-11-14,2023-12-07,Sem Ocorrência,23,Late Time,Avaria
